Lane.accession,MLST,Isolate,Year,CTZ,CTX,AMP,AMX,AMC,TZP,CXM,CET,GEN,TBM,TMP,CIP
ERR435312,68,11679_6#21,2001,S,,,S,S,S,R,,R,,,R
ERR434919,652,11658_6#85,2005,S,S,,S,S,S,S,,S,,,S
ERR434399,95,11657_6#45,2005,S,S,,R,R,R,S,,S,,,S
ERR434695,73,11658_4#53,2005,S,S,,R,S,S,S,,S,,,S
ERR434696,73,11658_4#54,2005,S,S,,R,S,S,S,,S,,,S
ERR434920,1231,11658_6#86,2005,S,S,,S,S,S,S,,S,,,S
ERR434921,5597,11658_6#87,2005,S,S,,S,S,S,S,,S,,,S
ERR435094,95,11658_8#91,2005,S,S,,R,R,S,S,,S,,,S
ERR434697,538,11658_4#55,2005,S,S,,R,S,S,S,,S,,,S
ERR439724,73,11791_7#62,2005,S,S,,S,S,S,S,,S,,,S
ERR434580,95,11658_3#34,2005,S,S,,S,S,S,S,,S,,,S
ERR434825,131,11658_5#87,2005,R,R,,R,R,S,R,,R,,,R
ERR434826,14,11658_5#88,2005,S,S,,R,S,S,S,,S,,,S
ERR434306,73,11657_5#48,2005,S,S,,S,S,S,S,,S,,,S
ERR434922,131,11658_6#88,2005,R,R,,R,R,R,R,,S,,,R
ERR434910,974,11658_6#76,2005,S,S,,S,S,S,S,,S,,,S
ERR434923,73,11658_6#89,2005,S,S,,S,S,S,S,,S,,,S
ERR435095,131,11658_8#92,2005,S,S,,R,R,S,S,,R,,,R
ERR434909,2617,11658_6#75,2005,S,S,,R,R,S,S,,S,,,S
ERR434698,295,11658_4#56,2005,S,S,,S,S,S,S,,S,,,S
ERR435330,73,11679_6#39,2005,S,S,,S,S,S,S,,S,,,S
ERR434689,48,11658_4#47,2005,S,S,,S,S,S,S,,S,,,S
ERR434908,73,11658_6#74,2005,S,S,,R,R,S,S,,S,,,S
ERR434699,131,11658_4#57,2005,S,S,,R,S,S,S,,S,,,S
ERR439732,1155,11791_7#70,2005,S,S,,S,S,S,S,,S,,,S
ERR435528,95,11679_8#45,2005,S,S,,S,S,S,S,,S,,,S
ERR434820,73,11658_5#82,2005,S,S,,R,R,S,R,,S,,,S
ERR435226,73,11679_5#31,2005,S,S,,R,R,S,R,,S,,,S
ERR439570,95,11791_3#38,2005,S,S,,S,S,S,S,,S,,,S
ERR435131,131,11679_4#32,2005,S,S,,R,S,S,S,,R,,,R
ERR434700,95,11658_4#58,2005,S,S,,R,R,S,S,,R,,,S
ERR435529,73,11679_8#46,2005,S,S,,S,S,S,S,,S,,,S
ERR435331,95,11679_6#40,2005,S,S,,R,S,S,S,,S,,,S
ERR435227,73,11679_5#32,2005,S,S,,S,S,S,S,,S,,,S
ERR439571,62,11791_3#39,2005,S,S,,R,R,S,S,,S,,,S
ERR439572,73,11791_3#40,2005,S,S,,S,S,S,S,,S,,,S
ERR435530,69,11679_8#47,2005,S,S,,R,R,S,S,,R,,,S
ERR434581,73,11658_3#35,2005,S,S,,S,S,S,S,,S,,,S
ERR434582,131,11658_3#36,2005,S,S,,S,S,S,S,,S,,,R
ERR439650,73,11791_6#23,2005,S,S,,R,S,S,S,,S,,,S
ERR435531,69,11679_8#48,2005,S,S,,R,S,S,S,,S,,,S
ERR439718,73,11791_7#56,2005,S,S,,R,R,R,S,,S,,,S
ERR435078,69,11658_8#75,2005,S,S,,R,R,S,S,,S,,,S
ERR434907,131,11658_6#73,2005,S,S,,R,S,S,S,,S,,,R
ERR435079,73,11658_8#76,2005,S,S,,R,S,S,S,,S,,,S
ERR434307,95,11657_5#49,2005,S,S,,S,S,S,S,,S,,,S
ERR435132,59,11679_4#33,2005,S,S,,R,S,S,S,,S,,,S
ERR439623,80,11791_3#91,2005,S,S,,R,R,S,S,,S,,,S
ERR435332,91,11679_6#41,2005,S,S,,S,S,S,S,,S,,,S
ERR435275,131,11679_5#80,2005,S,S,,R,R,S,S,,S,,,S
ERR435416,88,11679_7#29,2005,S,S,,S,S,S,S,,S,,,S
ERR435133,648,11679_4#34,2005,S,S,,R,R,S,S,,S,,,R
ERR439573,62,11791_3#41,2005,S,S,,S,S,S,S,,S,,,S
ERR435333,95,11679_6#42,2005,S,S,,S,S,S,S,,S,,,S
ERR434496,58,11657_7#46,2005,S,S,,R,S,S,S,,S,,,S
ERR435228,131,11679_5#33,2005,S,S,,R,S,S,S,,S,,,R
ERR435532,2272,11679_8#49,2005,S,S,,R,S,S,S,,S,,,S
ERR435134,131,11679_4#35,2005,S,S,,R,S,S,S,,S,,,R
ERR435417,127,11679_7#30,2005,S,S,,S,S,S,S,,S,,,S
ERR434444,10,11657_6#90,2005,S,S,,S,S,S,S,,S,,,S
ERR435418,357,11679_7#31,2005,S,S,,S,S,S,R,,S,,,S
ERR435419,69,11679_7#32,2005,S,S,,R,S,S,S,,S,,,S
ERR435229,69,11679_5#34,2005,S,S,,S,S,S,S,,S,,,S
ERR434400,73,11657_6#46,2005,S,S,,S,S,S,S,,S,,,S
ERR439574,73,11791_3#42,2005,S,S,,S,S,S,S,,S,,,S
ERR435563,1333,11679_8#81,2005,S,S,,S,S,S,S,,S,,,S
ERR435375,73,11679_6#84,2005,S,S,,R,R,S,S,,S,,,S
ERR435334,73,11679_6#43,2005,S,S,,S,S,S,S,,S,,,S
ERR434401,131,11657_6#47,2005,S,S,,S,S,S,S,,S,,,S
ERR434738,73,11658_4#96,2005,S,S,,R,S,S,S,,S,,,S
ERR439607,73,11791_3#75,2005,S,S,,R,R,S,S,,S,,,S
ERR434448,131,11657_6#94,2005,S,R,,R,R,S,R,,S,,,R
ERR435476,640,11679_7#89,2005,S,S,,S,S,S,S,,S,,,S
ERR439622,88,11791_3#90,2005,S,S,,R,R,S,S,,S,,,S
ERR434539,131,11657_7#89,2005,S,R,,R,R,S,R,,S,,,R
ERR435277,73,11679_5#82,2005,S,S,,S,S,S,S,,S,,,S
ERR439606,95,11791_3#74,2005,S,S,,R,S,S,S,,S,,,S
ERR435135,95,11679_4#36,2005,S,S,,R,R,S,S,,S,,,S
ERR434308,73,11657_5#50,2005,S,S,,S,S,S,S,,S,,,S
ERR435230,533,11679_5#35,2005,S,S,,R,R,S,R,,S,,,R
ERR439575,131,11791_3#43,2005,S,R,,R,R,S,R,,S,,,R
ERR435335,95,11679_6#44,2005,S,S,,R,S,S,S,,S,,,S
ERR434583,12,11658_3#37,2005,S,S,,R,R,S,S,,S,,,S
ERR435421,1057,11679_7#34,2005,S,S,,S,S,S,S,,S,,,S
ERR435136,14,11679_4#37,2005,S,S,,S,S,S,S,,S,,,S
ERR435533,69,11679_8#50,2005,S,S,,R,S,S,S,,S,,,S
ERR439576,69,11791_3#44,2005,S,S,,R,S,S,S,,S,,,S
ERR434827,95,11658_5#89,2005,S,S,,S,S,S,S,,S,,,S
ERR460494,23,11893_8#71,2005,S,S,,S,S,S,S,,S,,,S
ERR434497,131,11657_7#47,2005,S,S,,R,R,S,S,,S,,,R
ERR434309,452,11657_5#51,2005,S,S,,S,S,S,S,,S,,,S
ERR434584,131,11658_3#38,2005,R,R,,R,R,S,R,,R,,,R
ERR434633,69,11658_3#87,2005,S,S,,S,S,S,S,,S,,,S
ERR435336,131,11679_6#45,2005,S,S,,R,S,S,S,,S,,,S
ERR434310,10,11657_5#52,2005,R,R,,R,R,S,R,,R,,,R
ERR435337,38,11679_6#46,2005,S,S,,R,S,S,R,,S,,,R
ERR434828,95,11658_5#90,2005,S,S,,R,S,S,S,,S,,,S
ERR435338,5648,11679_6#47,2005,S,S,,R,S,S,R,,S,,,R
ERR434283,80,11657_5#25,2001,S,,,R,S,S,S,,S,,,S
ERR439577,5628,11791_3#45,2005,S,S,,S,S,S,S,,S,,,S
ERR434498,73,11657_7#48,2005,S,S,,R,S,S,S,,S,,,S
ERR434499,95,11657_7#49,2005,S,S,,R,S,S,S,,S,,,S
ERR434446,144,11657_6#92,2005,S,S,,R,S,S,S,,S,,,S
ERR434701,73,11658_4#59,2005,S,R,,R,S,S,R,,S,,,S
ERR435137,73,11679_4#38,2005,S,R,,R,S,S,R,,S,,,S
ERR434585,73,11658_3#39,2005,S,R,,R,S,S,R,,S,,,S
ERR435422,95,11679_7#35,2005,S,S,,R,R,S,S,,S,,,S
ERR434702,131,11658_4#60,2005,S,S,,R,R,S,S,,S,,,S
ERR434384,73,11657_6#30,2001,S,,,R,S,S,S,,S,,,S
ERR434568,10,11658_3#22,2001,S,,,R,S,S,S,,S,,,S
ERR434284,73,11657_5#26,2001,S,,,S,S,S,R,,S,,,S
ERR434478,95,11657_7#28,2001,S,,,S,S,S,S,,S,,,S
ERR435534,847,11679_8#52,2006,S,S,,S,S,S,S,,S,,,S
ERR439609,73,11791_3#77,2006,S,S,,R,R,S,R,,S,,,S
ERR435377,12,11679_6#86,2006,S,S,,R,S,S,S,,S,,,S
ERR434500,95,11657_7#50,2006,S,S,,S,S,S,S,,S,,,S
ERR435423,104,11679_7#36,2006,S,S,,S,S,S,S,,S,,,S
ERR434311,95,11657_5#53,2006,S,S,,S,S,S,S,,S,,,S
ERR435339,48,11679_6#48,2006,S,S,,R,S,S,S,,S,,,S
ERR439578,372,11791_3#46,2006,S,S,,R,R,S,S,,S,,,S
ERR439579,127,11791_3#47,2006,S,S,,S,S,S,S,,S,,,S
ERR435119,405,11679_4#20,2001,S,,,R,R,S,R,,S,,,R
ERR435565,104,11679_8#83,2006,S,S,,R,R,S,R,,S,,,S
ERR435405,1257,11679_7#18,2001,S,,,R,S,S,S,,S,,,S
ERR434669,10,11658_4#27,2001,S,,,R,S,S,S,,S,,,S
ERR435138,131,11679_4#39,2006,S,S,,R,R,S,R,,R,,,R
ERR435571,617,11679_8#89,2006,S,S,,R,R,S,S,,S,,,R
ERR434703,131,11658_4#61,2006,R,R,,R,R,R,R,,S,,,R
ERR435139,131,11679_4#40,2006,S,S,,R,R,S,S,,S,,,R
ERR435140,73,11679_4#41,2006,S,S,,R,R,S,S,,S,,,S
ERR435141,73,11679_4#42,2006,S,S,,S,S,S,S,,S,,,S
ERR434924,73,11658_6#90,2006,S,S,,S,S,S,S,,S,,,S
ERR434995,131,11658_7#65,2006,R,R,,R,R,S,R,,R,,,R
ERR434402,73,11657_6#48,2006,S,S,,R,S,S,S,,S,,,S
ERR439580,73,11791_3#48,2006,S,S,,R,R,S,S,,S,,,S
ERR434996,5491,11658_7#66,2006,R,R,,R,R,S,R,,R,,,R
ERR434501,14,11657_7#51,2006,S,S,,R,S,S,S,,S,,,S
ERR435142,127,11679_4#43,2006,S,S,,R,S,S,S,,S,,,S
ERR435231,410,11679_5#36,2006,R,R,,R,R,S,R,,R,,,R
ERR435535,357,11679_8#53,2006,S,S,,S,S,S,S,,S,,,S
ERR434312,95,11657_5#54,2006,S,S,,S,S,S,S,,S,,,S
ERR435383,167,11679_6#92,2006,R,R,,R,R,R,R,,R,,,R
ERR434586,127,11658_3#40,2006,S,S,,R,S,S,S,,S,,,S
ERR434997,131,11658_7#67,2006,S,S,,R,S,S,S,,S,,,R
ERR435536,58,11679_8#54,2006,S,S,,S,S,S,S,,S,,,S
ERR434998,95,11658_7#68,2006,S,S,,S,S,S,S,,S,,,S
ERR434403,5425,11657_6#49,2006,S,S,,S,S,S,S,,S,,,S
ERR434999,5384,11658_7#69,2006,S,S,,R,R,R,S,,S,,,S
ERR434320,5425,11657_5#62,2006,S,S,,S,S,S,S,,S,,,S
ERR434413,144,11657_6#59,2006,S,S,,S,S,S,S,,S,,,S
ERR435548,69,11679_8#66,2006,S,S,,R,S,S,S,,S,,,S
ERR435428,393,11679_7#41,2006,S,S,,R,R,S,R,,S,,,R
ERR435163,393,11679_4#64,2006,S,S,,R,R,S,S,,S,,,R
ERR435242,73,11679_5#47,2006,S,S,,S,S,S,S,,S,,,S
ERR434592,73,11658_3#46,2006,S,S,,S,S,S,S,,S,,,S
ERR435154,73,11679_4#55,2006,S,S,,S,S,S,S,,S,,,S
ERR434321,357,11657_5#63,2006,S,S,,S,S,S,S,,S,,,S
ERR435347,14,11679_6#56,2006,S,S,,R,R,S,S,,S,,,S
ERR434593,73,11658_3#47,2006,S,S,,S,S,S,S,,S,,,S
ERR439592,1858,11791_3#60,2006,S,S,,S,S,S,S,,S,,,S
ERR435155,131,11679_4#56,2006,R,R,,R,R,S,R,,S,,,R
ERR435243,1081,11679_5#48,2006,S,S,,R,S,S,S,,S,,,S
ERR435549,12,11679_8#67,2006,S,S,,R,R,S,S,,S,,,S
ERR434322,372,11657_5#64,2006,S,S,,R,R,R,S,,R,,,S
ERR435348,93,11679_6#57,2006,S,S,,S,S,S,S,,S,,,S
ERR439593,767,11791_3#61,2006,S,S,,R,R,R,R,,S,,,S
ERR434323,393,11657_5#65,2006,S,S,,R,R,R,S,,S,,,R
ERR435254,124,11679_5#59,2006,S,S,,R,S,S,S,,S,,,S
ERR434520,131,11657_7#70,2006,S,S,,R,R,R,S,,S,,,R
ERR435360,1231,11679_6#69,2006,S,S,,S,S,S,S,,S,,,S
ERR434325,69,11657_5#67,2006,S,S,,R,S,S,S,,S,,,S
ERR434611,393,11658_3#65,2006,S,S,,S,S,S,S,,S,,,R
ERR434594,1459,11658_3#48,2006,S,S,,S,S,S,S,,S,,,S
ERR434595,69,11658_3#49,2006,S,S,,R,R,S,S,,S,,,S
ERR434326,394,11657_5#68,2006,S,S,,R,R,S,S,,S,,,S
ERR434796,357,11658_5#58,2001,S,,,S,S,S,S,,S,,,S
ERR434408,12,11657_6#54,2006,S,S,,R,S,S,S,,S,,,S
ERR434596,641,11658_3#50,2006,S,S,,S,S,S,S,,S,,,S
ERR434603,73,11658_3#57,2006,S,S,,R,S,S,S,,S,,,S
ERR435433,95,11679_7#46,2006,S,S,,R,R,S,S,,S,,,S
ERR434597,80,11658_3#51,2006,S,S,,S,S,S,S,,S,,,S
ERR434415,648,11657_6#61,2006,S,S,,S,S,S,S,,S,,,S
ERR435244,38,11679_5#49,2006,S,S,,R,R,S,S,,S,,,S
ERR434569,91,11658_3#23,2001,S,,,S,S,S,S,,S,,,S
ERR434598,416,11658_3#52,2006,S,S,,S,S,S,S,,S,,,S
ERR435161,131,11679_4#62,2006,S,S,,S,S,S,S,,S,,,S
ERR435350,131,11679_6#59,2006,R,R,,R,R,R,R,,S,,,R
ERR434327,10,11657_5#69,2006,S,S,,R,R,S,S,,S,,,R
ERR434328,5614,11657_5#70,2006,S,S,,S,S,S,S,,S,,,S
ERR434707,131,11658_4#65,2006,S,R,,R,R,S,R,,S,,,R
ERR435245,998,11679_5#50,2006,S,S,,R,R,R,S,,S,,,S
ERR439653,95,11791_6#26,2006,S,S,,R,R,S,S,,S,,,S
ERR439651,131,11791_6#24,2006,R,R,,R,R,S,R,,R,,,R
ERR435120,79,11679_4#21,2001,S,,,R,R,S,S,,S,,,S
ERR434708,131,11658_4#66,2006,S,R,,R,R,S,R,,S,,,R
ERR434570,410,11658_3#24,2001,S,,,R,R,S,S,,R,,,R
ERR435160,405,11679_4#61,2006,R,R,,R,R,S,R,,R,,,R
ERR435435,95,11679_7#48,2006,S,S,,S,S,S,S,,S,,,S
ERR434417,131,11657_6#63,2006,S,R,,R,R,R,R,,S,,,R
ERR435159,5360,11679_4#60,2006,S,S,,R,S,S,S,,S,,,S
ERR434418,131,11657_6#64,2006,S,R,,R,R,S,R,,S,,,R
ERR435156,73,11679_4#57,2006,S,S,,R,R,S,R,,S,,,S
ERR434420,14,11657_6#66,2006,S,S,,S,S,S,S,,S,,,S
ERR435351,95,11679_6#60,2006,S,S,,R,S,S,S,,S,,,S
ERR434516,131,11657_7#66,2006,R,R,,R,R,R,R,,S,,,R
ERR439538,410,11791_3#6,2001,S,,,R,R,S,S,,R,,,R
ERR434515,367,11657_7#65,2006,S,S,,S,S,S,S,,S,,,S
ERR435440,648,11679_7#53,2006,S,S,,R,S,S,R,,S,,,R
ERR434709,964,11658_4#67,2006,S,S,,R,R,R,R,,S,,,R
ERR434514,69,11657_7#64,2006,S,S,,R,R,S,S,,S,,,S
ERR434599,12,11658_3#53,2006,S,S,,R,R,S,S,,S,,,S
ERR435437,73,11679_7#50,2006,S,S,,R,S,S,S,,S,,,S
ERR435246,10,11679_5#51,2006,S,S,,R,R,S,S,,S,,,S
ERR435424,69,11679_7#37,2006,S,S,,R,S,S,S,,S,,,S
ERR435353,115,11679_6#62,2006,S,S,,R,S,S,S,,S,,,S
ERR439652,131,11791_6#25,2006,S,S,,R,R,S,S,,S,,,R
ERR435406,127,11679_7#19,2001,S,,,R,S,S,S,,S,,,S
ERR435238,405,11679_5#43,2006,S,S,,R,S,S,S,,S,,,S
ERR435210,73,11679_5#15,2001,S,,,S,S,S,S,,R,,,R
ERR434419,131,11657_6#65,2006,S,S,,R,R,R,S,,R,,,R
ERR435250,95,11679_5#55,2006,S,S,,R,S,S,S,,S,,,S
ERR435001,131,11658_7#71,2006,S,S,,S,S,S,S,,R,,,R
ERR434710,648,11658_4#68,2006,S,S,,R,S,S,S,,S,,,R
ERR435256,23,11679_5#61,2006,S,S,,R,S,S,S,,S,,,S
ERR435439,12,11679_7#52,2006,S,S,,S,S,S,S,,S,,,S
ERR435157,131,11679_4#58,2006,S,S,,R,R,R,S,,S,,,S
ERR435550,69,11679_8#68,2006,S,S,,R,S,S,S,,S,,,S
ERR435438,12,11679_7#51,2006,S,S,,R,S,S,S,,S,,,S
ERR435211,10,11679_5#16,2001,S,,,R,S,S,R,,S,,,S
ERR434479,372,11657_7#29,2001,S,,,R,R,S,R,,S,,,S
ERR434285,73,11657_5#27,2001,S,,,R,S,S,S,,S,,,S
ERR439591,127,11791_3#59,2007,S,S,,S,S,S,S,,S,,,S
ERR439581,131,11791_3#49,2007,S,S,,S,S,S,R,,S,,,S
ERR435152,131,11679_4#53,2007,S,S,,R,R,S,R,,S,,,R
ERR434318,648,11657_5#60,2007,S,S,,R,R,S,S,,S,,,R
ERR435248,10,11679_5#53,2007,S,S,,R,S,S,S,,S,,,S
ERR435249,10,11679_5#54,2007,S,S,,R,S,S,S,,S,,,S
ERR434600,12,11658_3#54,2007,S,S,,R,R,S,S,,S,,,S
ERR439595,393,11791_3#63,2007,S,S,,R,R,S,S,,R,,,R
ERR435540,69,11679_8#58,2007,S,S,,R,R,S,S,,S,,,S
ERR434601,131,11658_3#55,2007,R,R,,R,S,S,R,,S,,,R
ERR434602,131,11658_3#56,2007,R,R,,R,R,S,R,,R,,,R
ERR435564,95,11679_8#82,2007,S,S,,R,S,S,S,,S,,,S
ERR434641,73,11658_3#95,2007,S,S,,R,R,S,S,,S,,,S
ERR435342,62,11679_6#51,2007,S,S,,R,S,S,S,,R,,,S
ERR435185,5242,11679_4#86,2007,S,S,,S,S,S,S,,S,,,S
ERR435352,73,11679_6#61,2007,S,S,,S,S,S,S,,S,,,S
ERR435251,348,11679_5#56,2007,S,S,,S,S,S,S,,S,,,S
ERR435349,5363,11679_6#58,2007,S,S,,S,S,S,S,,S,,,S
ERR435376,73,11679_6#85,2007,S,S,,R,R,S,S,,S,,,S
ERR435247,69,11679_5#52,2007,S,S,,R,R,S,S,,S,,,S
ERR435158,88,11679_4#59,2007,S,S,,S,S,S,S,,S,,,S
ERR434526,73,11657_7#76,2007,S,S,,R,S,S,S,,S,,,S
ERR434511,73,11657_7#61,2007,S,S,,S,S,S,S,,S,,,S
ERR434512,95,11657_7#62,2007,S,S,,S,S,S,S,,S,,,S
ERR434324,405,11657_5#66,2007,S,S,,R,R,S,R,,S,,,R
ERR434414,10,11657_6#60,2007,S,S,,R,S,S,S,,S,,,S
ERR439608,141,11791_3#76,2007,S,S,,S,S,S,S,,S,,,S
ERR434416,405,11657_6#62,2007,S,S,,R,S,S,S,,S,,,S
ERR439619,410,11791_3#87,2007,S,S,,S,S,S,S,,S,,,R
ERR439594,131,11791_3#62,2007,S,S,,S,S,S,S,,S,,,S
ERR435434,73,11679_7#47,2007,S,S,,R,R,S,S,,R,,,S
ERR435278,5526,11679_5#83,2007,S,S,,R,S,S,S,,S,,,S
ERR434513,88,11657_7#63,2007,S,S,,R,S,S,S,,S,,,S
ERR435436,393,11679_7#49,2007,S,S,,R,S,S,S,,R,,,R
ERR435378,357,11679_6#87,2007,S,S,,R,R,S,S,,S,,,S
ERR435354,14,11679_6#63,2007,S,S,,R,S,S,S,,S,,,S
ERR439620,162,11791_3#88,2007,S,S,,S,S,S,S,,S,,,S
ERR434507,131,11657_7#57,2007,S,S,,R,S,S,S,,R,,,R
ERR435143,131,11679_4#44,2007,S,S,,R,R,S,S,,S,,,S
ERR435340,131,11679_6#49,2007,S,S,,R,S,S,S,,S,,,S
ERR435537,57,11679_8#55,2007,R,R,,R,S,S,R,,S,,,R
ERR435232,95,11679_5#37,2007,S,S,,R,S,S,S,,S,,,S
ERR435538,62,11679_8#56,2007,S,S,,R,S,S,S,,S,,,S
ERR434404,95,11657_6#50,2007,S,S,,R,S,S,S,,S,,,S
ERR434313,73,11657_5#55,2007,S,S,,R,R,S,S,,S,,,S
ERR435144,95,11679_4#45,2007,S,S,,S,S,S,S,,S,,,S
ERR435539,131,11679_8#57,2007,S,S,,R,S,S,S,,S,,,S
ERR434704,416,11658_4#62,2007,S,S,,S,S,S,R,,S,,,S
ERR434405,131,11657_6#51,2007,R,R,,R,S,S,R,,S,,,R
ERR435233,95,11679_5#38,2007,S,S,,S,S,S,S,,S,,,S
ERR434314,95,11657_5#56,2007,S,S,,R,S,S,S,,S,,,S
ERR434711,95,11658_4#69,2007,S,S,,S,S,S,S,,S,,,S
ERR434406,73,11657_6#52,2007,S,S,,R,R,R,S,,S,,,S
ERR435145,12,11679_4#46,2007,S,S,,R,R,R,S,,R,,,S
ERR434315,357,11657_5#57,2007,S,S,,R,S,S,S,,S,,,R
ERR439582,101,11791_3#50,2007,S,S,,R,S,S,S,,R,,,S
ERR435146,429,11679_4#47,2007,S,S,,S,S,S,S,,S,,,S
ERR434587,131,11658_3#41,2007,S,S,,R,R,S,S,,S,,,S
ERR434502,131,11657_7#52,2007,S,S,,R,S,S,S,,S,,,R
ERR435147,95,11679_4#48,2007,S,S,,R,S,S,S,,S,,,S
ERR485893,73,12045_3#60,2007,S,S,,S,S,S,S,,S,,,S
ERR435000,95,11658_7#70,2007,S,S,,R,S,S,S,,S,,,S
ERR434588,131,11658_3#42,2007,S,S,,R,R,S,R,,S,,,R
ERR435234,95,11679_5#39,2007,S,S,,S,S,S,S,,S,,,S
ERR439583,58,11791_3#51,2007,S,S,,R,R,S,S,,S,,,S
ERR435425,372,11679_7#38,2007,S,S,,S,S,S,S,,S,,,S
ERR485898,127,12045_3#65,2007,S,S,,S,S,S,S,,S,,,S
ERR435341,95,11679_6#50,2007,S,S,,S,S,S,S,,S,,,R
ERR434705,405,11658_4#63,2007,R,R,,R,R,S,R,,R,,,R
ERR435166,144,11679_4#67,2007,S,S,,R,S,S,S,,S,,,S
ERR434407,95,11657_6#53,2007,S,S,,S,S,S,S,,S,,,S
ERR435148,73,11679_4#49,2007,S,S,,S,S,S,S,,S,,,S
ERR434503,131,11657_7#53,2007,S,S,,R,R,S,S,,S,,,R
ERR435235,538,11679_5#40,2007,S,S,,S,S,S,S,,S,,,S
ERR439584,117,11791_3#52,2007,S,S,,R,S,S,S,,S,,,S
ERR435236,141,11679_5#41,2007,S,S,,S,S,S,S,,S,,,S
ERR434409,117,11657_6#55,2007,S,S,,S,S,S,S,,S,,,S
ERR434504,131,11657_7#54,2007,S,R,,R,R,S,R,,S,,,R
ERR435426,1972,11679_7#39,2007,S,S,,S,S,S,S,,S,,,S
ERR435541,354,11679_8#59,2007,S,S,,R,S,S,S,,R,,,R
ERR439585,5662,11791_3#53,2007,S,S,,S,S,S,S,,S,,,S
ERR435237,167,11679_5#42,2007,R,R,,R,R,S,R,,R,,,R
ERR439586,69,11791_3#54,2007,S,S,,S,S,S,S,,S,,,S
ERR435568,131,11679_8#86,2007,S,S,,S,S,S,S,,S,,,S
ERR435257,10,11679_5#62,2007,S,S,,S,S,S,S,,S,,,S
ERR435149,393,11679_4#50,2007,S,S,,R,S,S,R,,S,,,R
ERR435427,5360,11679_7#40,2007,S,S,,S,S,S,S,,S,,,S
ERR434506,131,11657_7#56,2007,S,R,,R,S,S,R,,S,,,R
ERR434589,95,11658_3#43,2007,S,S,,R,S,S,R,,S,,,S
ERR435239,131,11679_5#44,2007,S,R,,R,R,S,R,,S,,,R
ERR435542,95,11679_8#60,2007,S,S,,S,S,S,S,,S,,,S
